q_id,topic_ids
d1cd92abc7e2,TERM19267;TERM27707;TERM29084
ff49a8f11fed,TERM00596;TERM29505
90aef03d808c,TERM32454
37b9ee2a5dbc,TERM13788;TERM29302;TERM43160
ba4be07b2939,TERM13573;TERM35960;TERM44473
49de33379bf5,TERM05335;TERM12202;TERM18717
997458c0224f,TERM15945;TERM22100;TERM23183
8dac91d01534,TERM05786
e9064d258f3d,
2baccb99c25c,
c72731143b11,TERM27434
72eac451dcf1,TERM30507;TERM32427
b8d3e6b1207d,
a03df7ae162d,TERM18868;TERM19237
2463169d7a99,TERM10103;TERM23761;TERM44396
2cfa31447461,TERM06999;TERM13932;TERM15901
b3ac3d8148d6,TERM20242;TERM12572;TERM19205
df497b084f44,TERM36697;TERM37369
86245dc10fe5,
92d6633df5ac,TERM06734;TERM10946;TERM13762
ebcb7201956e,TERM26835;TERM39879;TERM01901
5413b9caa12e,TERM08577;TERM35327;TERM13323
90d23fd96dca,TERM19925;TERM20603;TERM22887
bd067cd4e712,TERM05926;TERM08723;TERM13713
ef5cc1f27f4d,TERM00459;TERM15945;TERM22100
66474bac7ebf,TERM03466;TERM28256;TERM13932
f33b3033c44f,
239eba676fdb,TERM03362;TERM04297;TERM16692
13732d060d6b,
42b347f6645a,TERM34522;TERM05966;TERM06262
cab647f1cded,TERM06741;TERM39188;TERM02035
f879e189a76d,TERM17823;TERM43244
71eb8d9f736b,TERM00519;TERM16338;TERM32460
34413264c421,TERM16871;TERM37980;TERM00273
d8e78c5d00ec,TERM11180
949620085f70,TERM02031;TERM10239;TERM19614
d591182c1581,TERM00988;TERM02015;TERM17942
609b5233fd12,TERM00242;TERM11745;TERM18081
d708356e2a64,TERM03685;TERM06734;TERM08603
bf94281aa234,
b10136844d13,TERM33844;TERM34484;TERM09204
c94c18f33e8f,TERM14612;TERM29815;TERM38517
5cdd54e9f1aa,
a807a7cc9fd5,TERM29413
9da31dcd0815,TERM05255;TERM05610;TERM09350
f6463ddb28d5,TERM11758;TERM12572;TERM19205
8f0dacf18383,TERM18114
9956160358be,
89b240ff908c,
dc6e8e17f3de,TERM00242;TERM18081;TERM23183
ad89153e9c06,TERM19267;TERM27707;TERM29084
be4e8914fdb7,TERM23183;TERM32454;TERM38495
89958d834e83,TERM04809;TERM32454
ffc5d996ad23,TERM28821;TERM13788;TERM17314
903dfeb8e875,
e44c8f9ab351,TERM19948;TERM42375;TERM25901
70dfe6107963,TERM02894;TERM19921;TERM21193
ae6fc0456a5c,
490dc5bf8017,TERM00459;TERM22426;TERM27197
a7dac2f5ebd4,
195be7cd6d47,TERM06128;TERM01846;TERM04809
05da12e81a49,TERM20503;TERM32460
52715e65dfd0,TERM27007;TERM16021
5a2f541480c0,TERM00016;TERM02128;TERM26516
e16fcee2708e,TERM06232;TERM25253;TERM26994
fbe6374da967,TERM02693;TERM02822;TERM03382
1e96903b2e14,TERM20396;TERM24212;TERM26086
f6e7ddef129f,
626b03be537c,TERM23851;TERM24116
cc1055ed7b4a,TERM39879;TERM19925;TERM20603
31aee61c22cb,TERM27434
41bebd5dcda0,TERM30765
f23019c45e69,
2c160bfaae24,TERM07466;TERM17708;TERM25412
a6c8627e0c4e,TERM16673;TERM22094;TERM23761
063c8a742b7b,TERM17005;TERM21333;TERM21698
3d4e41514650,TERM19616
0c956fc1e57f,TERM10126;TERM16786
c7bf145127f8,TERM17005;TERM21333;TERM21698
214b9876b3eb,
41f9f12e3e13,TERM16021;TERM17005;TERM19253
a5c839b6c70f,TERM40129;TERM00519;TERM22834
f6eeafa5a1f5,TERM04030;TERM16693;TERM30153
1215952b7f6a,TERM28684;TERM00983;TERM17005
b20615a07814,TERM10103;TERM19948;TERM42375
23b8d876b2f0,TERM00169;TERM04178;TERM04784
61e6894ca1a7,TERM17005;TERM21333;TERM21698
dba54164b220,TERM31869
8fd3627293ea,TERM17829;TERM19166;TERM30255
b8ed5ea0d2a0,TERM00037;TERM06734;TERM10946
cfe229342076,TERM04030;TERM16693;TERM30153
35029ed36618,TERM28684;TERM00983;TERM17005
eb317dfc4345,TERM39637;TERM06626
ad9a83ce561f,TERM05535;TERM13323;TERM14271
2626a96c3d34,TERM33424;TERM15945;TERM22100
88972675280c,TERM19925;TERM20603;TERM22887
3bcd1a437eeb,TERM23205;TERM28766;TERM36091
6433f73b6e8c,TERM28234;TERM33374;TERM15945
bc8fa2dea3d8,TERM10687;TERM34297;TERM01215
884cc5892850,TERM11396
3fb9629210aa,
71de81ab831c,
434d75aca10a,TERM02710;TERM25661;TERM32460
74dfea72ad69,TERM11315;TERM17599;TERM37242
455b7f58c5c6,TERM13288;TERM17823;TERM36442
7f87bd880ab7,TERM18741;TERM01976;TERM05474
1f4187f5f0ec,TERM32410;TERM32420;TERM32460
a338c8403b96,TERM03641;TERM00344;TERM00983
22bc60384854,TERM00006;TERM03035;TERM03129
c95d7fea4de8,TERM23851;TERM24116
1bc40f624d8a,TERM00427;TERM28742
2f719620d136,TERM12572;TERM19205;TERM25723
fe8824882707,TERM33844;TERM34484;TERM09204
6fd4008f0767,TERM14612;TERM29815;TERM38517
06e1b52bafcf,
f43f15b85cea,TERM29413
7d6eccb5db13,TERM05255;TERM05610;TERM09350
d671c078e0b0,TERM11758;TERM12572;TERM19205
d566f0998aba,TERM18114
5872b185bd2f,
a669c09c1122,
fa166bb294c9,TERM00242;TERM18081;TERM23183
b55b54305d53,TERM25901;TERM32460
a5a88f8ab55a,TERM06741;TERM39188;TERM02035
06be625dae72,TERM29079;TERM10498;TERM13192
1d9cf01f527f,
1f90ddb1185f,TERM31364;TERM02836;TERM15945
3130f7fd3381,TERM08566;TERM22435;TERM38392
35023939d17b,
0f5243704e39,TERM16779;TERM21249;TERM29935
0e4873801aaf,
308923250a69,
6d4e87762939,TERM16799;TERM28687;TERM12360
6e5c5c38ed4f,TERM00732;TERM04197;TERM04501
8d1fa06f16ba,TERM43329;TERM02367;TERM03979
bcff481fabd4,
ddbbbc56263c,TERM11334;TERM25450
155d63bb96f8,
8f1756c921b4,TERM01900;TERM01971;TERM04913
1c1df10d708a,TERM24776;TERM33639;TERM38392
7dae11f97371,TERM43697;TERM00481;TERM05700
653f880da511,TERM43394
0da16bdb092f,TERM00983;TERM23269;TERM28479
7a2092d2a1fa,TERM19948;TERM42375;TERM13788
5d978ad87dbb,TERM39637
f2bf6091ea37,TERM05083
d0cd205d8c10,TERM08338;TERM16683;TERM29950
5267900efd89,TERM02724;TERM13288;TERM36442
10dfa1187ac7,TERM27570;TERM36227
f3350c854eb3,TERM18170;TERM42455;TERM16836
47630fdc27e6,TERM04161
e092dc678584,TERM23199
516aa10abc6c,TERM19818
cf523b43c791,TERM00230;TERM23183;TERM32216
e311325d98f1,TERM00061;TERM00127;TERM00238
0b55d93f51f6,TERM09839;TERM15945;TERM22100
bd8fc03fc915,TERM16667;TERM11745;TERM12572
d27cea0fd9ce,TERM32216
b1bf27f3029f,TERM11315;TERM17599;TERM37242
92bc9f78532d,TERM43329;TERM02367;TERM03979
e0eb95beffb2,TERM21611;TERM31639
4b131d7e6b6a,TERM12572;TERM19205;TERM25723
